Pos,ID,Name,BV,SV,Team,6_xMins,6_Pts,7_xMins,7_Pts,8_xMins,8_Pts,9_xMins,9_Pts,10_xMins,10_Pts,11_xMins,11_Pts,12_xMins,12_Pts,13_xMins,13_Pts,Elite%,relevant_players_wc6.ID
D,167,Disasi,4.4,4.4,Chelsea,8,0.27,12,0.45,12,0.28,11,0.36,12,0.32,11,0.33,12,0.45,13,1.811577313,0,
M,168,Enzo,5,5,Chelsea,86,3.21,84,3.28,83,2.44,80,3.16,82,2.69,81,2.53,80,3.04,80,11.07535969,0,
M,169,Gallagher,5.9,5.9,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
D,170,Gilchrist,4,4,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
D,171,Gusto,4.9,4.9,Chelsea,85,3.49,79,3.79,65,1.53,50,1.99,40,1.31,40,1.36,42,1.87,41,6.226913313,0,
D,172,James,5,5,Chelsea,0,0,0,0,20,0.66,47,2.34,58,2.25,58,2.32,56,3.01,57,10.490592,0,
M,173,Kellyman,4.5,4.5,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
M,174,Lavia,4.5,4.5,Chelsea,17,0.63,29,1.09,32,1.04,33,1.21,33,1.1,34,1.11,35,1.25,35,4.639755375,0,
F,175,Lukaku,6.3,6.3,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
D,176,M.Sarr,4.5,4.5,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
M,177,Madueke,6.6,6.6,Chelsea,57,3.23,56,3.26,55,2.46,55,3.24,60,2.89,54,2.48,53,3.03,53,11.10358375,0.01,
F,178,Marc Guiu,4.9,4.9,Chelsea,3,0.27,4,0.36,5,0.35,6,0.52,9,0.61,7,0.48,7,0.56,8,2.304564,0,
M,179,Mudryk,6.3,6.3,Chelsea,8,0.56,10,0.66,11,0.61,11,0.75,23,1.33,14,0.73,14,0.87,14,3.37760575,0,
F,180,N.Jackson,7.7,7.7,Chelsea,70,4.22,66,4.05,65,3.06,63,4.04,64,3.28,60,2.84,60,3.67,59,13.37832725,0,180
M,181,Nkunku,6.1,6.1,Chelsea,32,2.32,32,2.39,35,1.95,32,2.42,36,2.22,33,1.91,34,2.46,34,9.307604063,0.05,
M,182,Palmer,10.6,10.6,Chelsea,87,6.6,82,6.38,81,4.28,81,6.46,80,4.91,80,4.53,78,5.83,77,21.40111481,0.09,182
G,183,Petrović,4.4,4.4,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
M,184,Renato Veiga,4.5,4.5,Chelsea,8,0.33,8,0.31,7,0.27,9,0.38,10,0.37,10,0.35,11,0.43,12,1.744977938,0,
G,185,Sánchez,4.7,4.7,Chelsea,93,3.58,91,3.72,90,3.05,90,3.24,89,3.1,88,3.08,89,3.47,87,12.07516413,0,185
M,186,Sterling,6.8,6.8,Arsenal,34,2.71,39,3.03,40,2.58,41,2.34,39,2.38,0,0,40,2.8,39,9.520759,0,
D,187,Tosin,4.4,4.4,Chelsea,29,1.06,33,1.4,37,0.79,33,1.14,37,1.03,38,1.12,38,1.49,38,5.012009125,0,
M,188,Ugochukwu,4.5,4.5,Southampton,49,1.51,49,1.36,48,1.59,41,1.18,42,1.42,42,1.36,43,1.28,43,3.705288,0,
D,189,W.Fofana,4.5,4.5,Chelsea,75,2.83,75,3.26,70,1.44,69,2.36,64,1.75,63,1.81,62,2.43,63,8.1875285,0,
M,190,Ahamada,4.5,4.5,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
D,191,Andersen,4.4,4.4,Fulham,91,2.71,86,1.18,85,2.72,84,2.69,82,2.99,80,2.32,81,3.31,81,7.485933188,0.01,191
M,192,J.Ayew,5.3,5.3,Leicester,69,2.22,68,3.08,68,3.11,66,3.04,65,2.88,63,2.3,63,2.61,59,9.68807375,0,
M,193,C.Doucouré,4.9,4.9,Crystal Palace,0,0,0,0,9,0.34,24,0.88,34,1.23,35,1.31,34,1.17,35,4.5285435,0,
D,194,C.Richards,4.5,4.5,Crystal Palace,64,1.99,52,1.08,42,1.29,42,1.08,42,1.43,41,1.5,40,1,36,3.684118125,0,
D,195,Chadi Riad,4.4,4.4,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,13,0.37,25,3.325278,0,
D,196,Clyne,4.4,4.4,Crystal Palace,19,0.66,18,0.5,18,0.63,20,0.62,19,0.69,20,0.79,20,0.63,19,2.467701875,0,
M,197,Ebiowei,4.5,4.5,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
F,198,Edouard,5.4,5.4,Leicester,21,0.99,25,1.52,23,1.37,19,1.17,22,1.26,23,1.19,22,1.25,22,4.836753688,0,
M,199,Eze,6.9,6.9,Crystal Palace,87,4.75,85,3.89,82,4.23,81,4.47,78,4.41,79,4.81,80,3.78,79,14.95554988,0.87,199
D,200,Guéhi,4.4,4.4,Crystal Palace,91,2.91,88,1.81,87,2.69,85,2.15,85,2.88,86,3.17,85,2.06,85,8.53399,0.01,200
G,201,Henderson,4.5,4.5,Crystal Palace,94,3.41,92,3.01,92,3.32,91,3.05,90,3.41,91,3.43,90,3.1,90,11.55185738,0.6,201
D,202,Holding,4.4,4.4,Crystal Palace,2,0.06,2,0.04,2,0.05,3,0.06,3,0.08,3,0.09,2,0.05,1,0.06287375,0,
M,203,Hughes,4.9,4.9,Crystal Palace,41,1.44,41,1.3,41,1.37,35,1.24,35,1.28,34,1.26,35,1.18,34,4.290460625,0,
G,204,Johnstone,4.4,4.4,Wolves,93,2.95,91,3.27,90,2.83,88,2.89,89,3.23,87,3.29,88,3.06,87,11.59805575,0,
M,205,Kamada,5.3,5.3,Crystal Palace,53,2.5,54,2.23,53,2.41,54,2.47,52,2.54,53,2.66,52,2.24,52,8.761992938,0,
M,206,Lerma,4.9,4.9,Crystal Palace,39,1.41,40,1.3,37,1.32,33,1.19,31,1.16,30,1.19,31,1.11,30,4.1575555,0,
F,207,Mateta,7.4,7.4,Crystal Palace,77,3.9,75,3.32,72,3.49,72,3.71,71,3.75,70,3.84,70,3.22,69,12.45650569,0,
M,208,M.França,4.4,4.4,Crystal Palace,5,0.31,10,0.53,13,0.68,12,0.67,14,0.78,14,0.78,13,0.67,13,2.539895188,0,
G,209,Matthews,4,4,Crystal Palace,0,0,0,0,2,0.08,0,0,0,0,0,0,0,0,0,0,0.06,
D,210,Mitchell,4.9,4.9,Crystal Palace,86,2.79,84,1.77,81,2.53,82,2.15,82,2.79,82,3.06,79,1.99,80,8.201693563,0,
D,211,Muñoz,4.9,4.9,Crystal Palace,88,3.09,84,1.94,82,2.78,81,2.33,81,3.02,80,3.28,79,2.2,80,8.775473438,0.05,
M,212,Ozoh,4.5,4.5,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
M,213,Rak-Sakyi,4.5,4.5,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
M,214,Schlupp,4.8,4.8,Crystal Palace,5,0.32,7,0.36,8,0.43,7,0.4,8,0.44,8,0.43,10,0.47,8,1.635345188,0,
D,215,Ward,4.4,4.4,Crystal Palace,7,0.23,9,0.24,11,0.38,12,0.37,12,0.44,13,0.49,11,0.33,13,1.514798688,0,
M,216,Wharton,4.9,4.9,Crystal Palace,77,2.6,75,2.24,73,2.41,70,2.33,69,2.44,68,2.44,69,2.17,68,8.290864375,0,
M,217,A.Doucoure,5.2,5.2,Everton,39,1.87,40,1.81,41,1.82,42,1.92,43,1.94,41,1.72,42,1.98,41,6.503648438,0,
F,218,Beto,5,5,Everton,19,1.26,23,1.41,23,1.39,22,1.43,22,1.41,22,1.3,22,1.48,23,4.973107875,0,
D,219,Branthwaite,4.8,4.8,Everton,59,1.86,85,2.22,84,2.54,82,2.67,80,2.33,80,1.89,80,2.51,80,6.389672125,0,
F,220,Calvert-Lewin,6,6,Everton,82,4.56,77,4.08,72,3.83,71,3.97,69,3.89,70,3.46,69,3.98,68,12.22509713,0.13,220
D,221,Coleman,4.4,4.4,Everton,0,0,0,0,15,0.54,30,1.15,35,1.24,35,1.03,37,1.38,34,3.770134063,0,
M,222,Gana,4.9,4.9,Everton,62,1.89,58,1.74,59,1.77,57,1.79,57,1.72,60,1.7,59,1.8,56,5.927218938,0,
M,223,Garner,5,5,Everton,39,1.41,40,1.38,37,1.36,38,1.39,39,1.42,40,1.33,40,1.46,41,5.016637688,0,
M,224,Harrison,5.3,5.3,Everton,57,2.68,55,2.51,55,2.45,55,2.54,54,2.55,51,2.18,50,2.44,54,8.217378063,0,
D,225,Holgate,4,4,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
M,226,Iroegbunam,4.5,4.5,Everton,36,1.33,38,1.33,38,1.34,39,1.37,42,1.45,39,1.29,42,1.49,42,4.905329438,0.01,
G,227,J.Virginia,4,4,Everton,0,0,1,0.04,1,0.04,2,0.08,2,0.07,2,0.06,2,0.06,2,0.220931563,0.03,227
D,228,Keane,4,4,Everton,37,1.26,13,0.4,15,0.49,18,0.62,17,0.57,18,0.5,19,0.65,20,1.894500063,0,
F,229,Maupay,4.9,4.9,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
M,230,McNeil,5.4,5.4,Everton,84,3.79,81,3.46,81,3.44,80,3.6,79,3.43,78,3.08,78,3.58,79,11.14143288,0.01,230
D,231,Mykolenko,4.3,4.3,Everton,90,3.02,86,2.46,82,2.75,80,2.81,78,2.52,78,2.02,79,2.73,78,6.981749438,0.04,231
F,232,Ndiaye,5.4,5.4,Everton,69,3.01,70,2.98,70,2.96,66,2.9,66,2.92,67,2.69,67,3.02,67,9.59935325,0,
M,233,Onana,5.2,5.2,Aston Villa,68,2.42,51,1.82,38,1.42,36,1.45,38,1.3,39,1.28,38,1.52,37,5.332422813,0,
D,234,Patterson,4.4,4.4,Everton,5,0.18,19,0.59,25,0.84,20,0.73,17,0.58,19,0.56,19,0.68,20,2.045501063,0,
G,235,Pickford,4.8,4.8,Everton,94,3.44,93,3.23,93,3.42,92,3.4,92,3.37,92,3.21,92,3.38,91,11.53766775,0,235
D,236,Tarkowski,4.8,4.8,Everton,92,2.92,90,2.4,88,2.71,86,2.79,88,2.6,87,2.03,86,2.78,86,6.830587438,0,236
F,237,Y. Chermiti,4.9,4.9,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
D,238,Young,4.5,4.5,Everton,82,2.97,74,2.25,63,2.22,55,2.05,56,1.92,55,1.57,54,1.99,54,5.30505775,0,
M,239,Adama,5.1,5.1,Fulham,72,3.12,69,2.35,68,3.08,64,2.91,62,3.09,62,2.65,61,3.22,62,9.663273438,0,239
M,240,Andreas,5.3,5.3,Fulham,78,3.4,75,2.56,73,3.39,73,3.35,69,3.5,71,3.02,68,3.77,68,10.85161788,0,240
D,241,Bassey,4.5,4.5,Fulham,91,2.61,87,1.13,84,2.52,81,2.5,80,2.75,80,2.21,79,3.03,79,6.998458813,0,
G,242,Benda,4,4,Fulham,1,0.06,2,0.08,4,0.14,3,0.12,3,0.14,4,0.14,3,0.14,4,0.62850775,0.01,
M,243,Cairney,4.9,4.9,Fulham,9,0.46,11,0.47,13,0.63,15,0.69,15,0.76,16,0.74,17,0.88,17,3.19020525,0,
D,244,Castagne,4.3,4.3,Fulham,11,0.37,16,0.31,19,0.68,21,0.76,23,0.91,23,0.78,27,1.21,26,3.151216875,0,
D,245,Diop,4.5,4.5,Fulham,7,0.23,14,0.24,17,0.52,19,0.63,22,0.77,23,0.67,23,0.9,23,2.379582375,0,
M,246,Harris,4.5,4.5,Fulham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
M,247,Iwobi,5.5,5.5,Fulham,85,3.31,83,2.52,80,3.26,78,3.24,76,3.37,75,2.89,76,3.59,77,10.66728081,0,
G,248,Leno,5,5,Fulham,94,3.45,93,3.07,91,3.37,92,3.53,91,3.54,91,3.36,91,3.67,91,11.796586,0,
M,249,Lukić,5,5,Fulham,50,1.8,45,1.44,42,1.61,43,1.64,45,1.81,41,1.51,43,1.79,43,5.834411875,0,
D,250,Mbabu,4,4,Fulham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
F,251,Muniz,5.9,5.9,Fulham,37,2.03,39,1.63,38,2.12,40,2.27,41,2.48,39,2,39,2.45,39,7.58780075,0.11,
F,252,Raúl,5.4,5.4,Fulham,63,3.1,59,2.32,58,3.07,56,2.92,55,3.23,55,2.72,53,3.23,54,9.754761375,0,252
D,253,Ream,4.5,4.5,Fulham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
M,254,Reed,4.9,4.9,Fulham,9,0.43,13,0.48,13,0.53,15,0.6,17,0.72,17,0.7,19,0.81,19,2.906112875,0,
D,255,Robinson,4.7,4.7,Fulham,86,2.63,84,1.17,82,2.66,80,2.65,79,2.96,78,2.31,75,3.16,77,7.1641555,0.38,
F,256,Stansfield,5,5,Fulham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
D,257,Tete,4.5,4.5,Fulham,82,2.61,79,1.17,76,2.58,74,2.59,72,2.8,73,2.25,69,2.99,69,6.856934625,0,
F,258,Vinicius,5,5,Fulham,2,0.12,4,0.24,6,0.4,5,0.39,6,0.45,7,0.46,8,0.55,8,1.805450938,0,
M,259,Wilson,5.3,5.3,Fulham,9,0.56,11,0.54,13,0.77,15,0.89,17,1.06,17,0.93,17,1.11,17,3.953987563,0,
F,260,Al-Hamadi,4.9,4.9,Ipswich,0,0,1,0.11,2,0.17,3,0.21,3,0.28,3,0.25,4,0.3,4,1.1000795,0,
D,261,Baggott,4,4,Ipswich,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
M,262,Broadhead,4.9,4.9,Ipswich,9,0.54,10,0.59,11,0.66,12,0.63,14,0.79,14,0.68,15,0.8,14,3.064824625,0,
D,263,Burgess,4,4,Ipswich,5,0.18,8,0.24,11,0.38,12,0.33,14,0.49,15,0.26,14,0.35,16,1.789474063,0,
M,264,Burns,4.9,4.9,Ipswich,52,2.2,50,2.06,51,2.36,48,1.97,48,2.28,49,1.81,46,1.91,46,7.44993975,0,
M,265,Chaplin,5.3,5.3,Ipswich,14,0.8,14,0.82,17,1.1,17,0.93,18,1.12,19,0.97,21,1.18,19,4.39655625,0,
D,266,H.Clarke,4,4,Ipswich,0,0,1,0.04,3,0.1,2,0.06,3,0.11,4,0.09,5,0.15,4,0.496119688,0,
D,267,Davis,4.5,4.5,Ipswich,87,2.71,83,2.51,82,3.47,79,2.33,77,3.36,79,1.4,77,2.29,77,9.645033938,0,267
F,268,Delap,5.5,5.5,Ipswich,64,3.14,62,2.96,61,3.39,59,2.78,59,3.28,56,2.43,55,2.63,57,10.1596575,0,268
D,269,Edmundson,4,4,Ipswich,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
D,270,Greaves,4,4,Ipswich,89,2.21,87,2.08,84,2.82,82,1.91,81,2.81,80,1.02,78,1.79,78,7.902291,0.04,270
M,271,Harness,4.9,4.9,Ipswich,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
F,272,Hirst,5.4,5.4,Ipswich,30,1.68,30,1.67,31,1.87,32,1.67,30,1.87,32,1.53,33,1.76,31,6.675949,0,
M,273,Humphreys,4.5,4.5,Ipswich,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
M,274,Hutchinson,5.4,5.4,Ipswich,79,3.16,76,2.97,71,3.27,71,2.71,71,3.16,71,2.47,70,2.79,68,10.38437494,0,
D,275,Johnson,4,4,Ipswich,30,0.93,33,0.97,34,1.32,36,1.04,38,1.48,36,0.68,37,1.03,37,4.519202813,0.13,
F,276,Ladapo,4.5,4.5,Ipswich,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
M,277,Luongo,4.5,4.5,Ipswich,13,0.51,10,0.42,13,0.53,14,0.56,15,0.65,16,0.62,17,0.67,18,2.540178,0,
M,278,Morsy,4.9,4.9,Ipswich,85,2.17,80,2.04,75,2.1,71,1.8,71,2.03,70,1.64,69,1.76,70,6.999800313,0,
D,279,Ndaba,4,4,Ipswich,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
G,280,Slicker,4,4,Ipswich,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,
M,281,Taylor,4.9,4.9,Ipswich,5,0.28,4,0.23,5,0.33,8,0.39,8,0.41,10,0.43,9,0.42,9,1.587766375,0,
D,282,Tuanzebe,4,4,Ipswich,73,1.86,70,1.76,67,2.32,67,1.62,66,2.34,65,0.9,65,1.58,64,6.681266875,0,
G,283,Walton,4.5,4.5,Ipswich,2,0.06,2,0.09,4,0.14,4,0.14,4,0.15,5,0.16,5,0.16,5,0.70421225,0,
D,284,Woolfenden,4,4,Ipswich,21,0.53,29,0.7,27,0.88,28,0.66,31,1.04,30,0.41,32,0.73,34,3.2536645,0,
M,285,B.Soumaré,4.5,4.5,Leicester,2,0.07,4,0.13,5,0.17,7,0.24,6,0.2,6,0.19,7,0.22,7,1.036293,0,
F,286,Cannon,4.5,4.5,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,
M,287,Choudhury,4.4,4.4,Leicester,5,0.16,7,0.25,9,0.32,10,0.34,10,0.33,12,0.39,14,0.45,13,1.803475938,0,
D,288,Coady,4,4,Leicester,7,0.12,10,0.29,5,0.13,6,0.18,7,0.2,10,0.21,8,0.17,7,0.939901063,0,
F,289,Daka,4.9,4.9,Leicester,0,0,0,0,18,1.15,28,1.73,30,1.69,32,1.56,33,1.84,32,6.919045375,0,
M,290,De Cordova-Reid,5.3,5.3,Leicester,12,0.52,13,0.72,13,0.73,13,0.72,15,0.81,15,0.76,16,0.85,17,3.425605,0,
D,291,Faes,4.1,4.1,Leicester,92,1.19,87,2.42,85,2.47,85,2.82,84,2.58,82,1.4,82,1.75,81,8.0195175,0.12,291
M,292,Golding,4.5,4.5,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
G,293,Hermansen,4.5,4.5,Leicester,94,3.08,93,3.29,92,3.4,91,3.44,91,3.38,91,3.02,91,3.09,91,12.07896694,0,
G,294,Iversen,4,4,Leicester,0,0,1,0.05,2,0.06,2,0.09,1,0.05,2,0.06,2,0.06,2,0.284912938,0.03,294
D,295,Justin,4.5,4.5,Leicester,85,1.22,80,2.4,77,2.47,76,2.75,75,2.42,72,1.42,71,1.73,72,7.738073375,0,
D,296,Kristiansen,4.5,4.5,Leicester,81,1.2,78,2.33,75,2.38,72,2.58,73,2.4,73,1.43,72,1.71,70,7.606824313,0,
M,297,Marcal,4.5,4.5,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
M,298,Mavididi,5.3,5.3,Leicester,71,2.46,66,3.4,55,2.83,55,2.9,55,2.73,54,2.28,54,2.56,56,9.999672875,0.02,298
M,299,McAteer,4.9,4.9,Leicester,2,0.14,3,0.27,4,0.28,4,0.32,5,0.36,5,0.34,5,0.31,5,1.652084188,0,
M,300,Ndidi,5,5,Leicester,76,1.97,73,2.37,71,2.3,71,2.39,67,2.2,70,2.01,69,2.1,69,7.975064313,0,
D,301,Okoli,4,4,Leicester,91,1.11,85,2.29,79,2.22,79,2.52,77,2.31,76,1.29,76,1.6,74,7.168346063,0,
D,302,Ricardo,4.3,4.3,Leicester,9,0.17,13,0.42,16,0.54,17,0.61,19,0.66,19,0.45,20,0.56,22,2.788677063,0,
D,303,Souttar,4,4,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
G,304,Stolarczyk,4,4,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,
D,305,Thomas,4,4,Leicester,14,0.32,16,0.52,18,0.61,20,0.73,19,0.66,20,0.5,20,0.57,20,2.505731375,0,
F,306,Vardy,5.7,5.7,Leicester,79,2.86,76,4.36,69,3.78,67,3.75,64,3.32,61,2.74,61,3.11,62,11.57977163,0.15,306
D,307,Vestergaard,4,4,Leicester,0,0,7,0.21,21,0.64,20,0.69,22,0.72,23,0.45,26,0.61,27,2.897072875,0,
G,308,Ward,4,4,Leicester,0,0,1,0.04,1,0.04,1,0.06,2,0.09,2,0.07,3,0.09,2,0.291266938,0,
M,309,Winks,4.5,4.5,Leicester,82,1.95,79,2.39,77,2.3,74,2.28,74,2.19,73,1.92,73,2.04,72,7.724058063,0.29,309
G,310,A.Becker,5.5,5.5,Liverpool,36,1.54,86,3.57,93,3.54,92,3.33,92,3.79,91,3.69,91,3.8,90,12.99011263,0.01,
D,311,Alexander-Arnold,7.1,7.1,Liverpool,84,4.73,80,4.17,78,3.79,77,2.58,76,4.25,74,4.06,75,4.39,76,12.61614969,0.78,311
M,312,Bajcetic,4.5,4.5,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
D,313,Bradley,4.8,4.8,Liverpool,16,0.79,19,0.95,22,1.03,21,0.78,23,1.22,23,1.21,24,1.29,24,4.25021875,0,
M,314,Carvalho,4.8,4.8,Brentford,66,3.79,65,3.71,62,2.83,55,3.55,53,2.69,54,3.27,46,2.52,38,7.51720775,0,314
M,315,Clark,4.5,4.5,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
F,316,Darwin,7.2,7.2,Liverpool,49,3.39,48,3.04,50,3.28,48,2.2,47,3.1,47,3.2,48,3.45,47,10.69042738,0,
M,317,Diogo J.,7.5,7.5,Liverpool,51,3.58,47,3.1,48,3.15,48,2.3,48,3.27,49,3.36,44,3.23,46,10.40696169,0.28,
M,318,Doak,4.5,4.5,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
M,319,Elliott,5.2,5.2,Liverpool,0,0,0,0,7,0.37,16,0.76,20,1.18,21,1.21,22,1.32,23,4.480332813,0,
M,320,Endo,4.8,4.8,Liverpool,12,0.52,14,0.62,13,0.58,13,0.53,14,0.62,15,0.64,17,0.75,17,2.479326438,0,
F,321,Gakpo,7.2,7.2,Liverpool,22,1.59,27,1.7,26,1.72,29,1.42,28,1.82,28,1.87,31,2.19,30,6.734395938,0,
D,322,Gomez,4.8,4.8,Liverpool,4,0.13,8,0.25,12,0.38,13,0.32,13,0.46,17,0.62,16,0.61,19,2.393608313,0,
M,323,Gravenberch,5,5,Liverpool,79,3.21,78,2.97,76,2.94,73,2.27,72,2.9,71,2.83,70,2.94,69,9.426573688,0,
M,324,Jones,5.3,5.3,Liverpool,25,1.25,24,1.18,28,1.32,24,0.98,25,1.24,25,1.23,27,1.38,27,4.5767675,0,
G,325,Kelleher,4.4,4.4,Liverpool,58,2.44,9,0.35,2,0.08,3,0.12,3,0.13,4,0.16,4,0.17,4,0.63598725,0,
D,326,Konaté,5.1,5.1,Liverpool,76,3.13,70,2.71,68,2.33,68,1.74,68,2.7,67,2.64,65,2.67,62,7.724555188,0,
M,327,Luis Díaz,8,8,Liverpool,70,4.36,66,3.86,65,3.89,62,2.67,63,3.88,61,3.83,63,4.21,61,12.53412044,0.01,327
M,328,M.Salah,12.8,12.7,Liverpool,87,6.98,85,6.18,83,6.48,83,4.25,82,6.62,82,6.63,79,6.6,80,20.47438275,0.86,328
