,week,name,pos,type,team,price,xP,lineup,captain,vicecaptain,transfer_in,transfer_out
3,33,Mendy,GKP,1,Chelsea,5.2,3.98,1,0,0,0,0
11,33,Shaw,DEF,2,Man Utd,5.4,3.37,1,0,0,0,0
1,33,Konsa,DEF,2,Aston Villa,4.7,3.7,1,0,0,0,0
6,33,Castagne,DEF,2,Leicester,5.7,3.98,1,0,0,0,0
9,33,Alexander-Arnold,DEF,2,Liverpool,7.4,5.72,1,0,0,0,0
10,33,Jota,MID,3,Liverpool,7.0,4.13,1,0,0,0,0
12,33,Rashford,MID,3,Man Utd,9.5,4.98,1,0,0,1,0
8,33,Salah,MID,3,Liverpool,12.5,7.36,1,1,0,0,0
5,33,Iheanacho,FWD,4,Leicester,6.1,4.04,1,0,0,0,0
2,33,Watkins,FWD,4,Aston Villa,6.5,4.83,1,0,0,1,0
4,33,Vardy,FWD,4,Leicester,10.1,5.88,1,0,1,0,0
13,33,Forster,GKP,1,Southampton,4.0,0.0,0,0,0,0,0
16,33,Reguil贸n,DEF,2,Spurs,5.6,0.0,0,0,0,0,0
15,33,Son,MID,3,Spurs,9.5,0.0,0,0,0,0,0
0,33,Smith Rowe,MID,3,Arsenal,4.2,1.93,0,0,0,0,1
7,33,Raphinha,MID,3,Leeds,5.5,2.74,0,0,0,0,0
14,33,Kane,FWD,4,Spurs,11.8,0.0,0,0,0,0,1
19,34,Mendy,GKP,1,Chelsea,5.2,4.45,1,0,0,0,0
26,34,Alexander-Arnold,DEF,2,Liverpool,7.4,3.3,1,0,0,0,0
20,34,Keane,DEF,2,Everton,5.1,3.35,1,0,0,1,0
32,34,Reguil贸n,DEF,2,Spurs,5.6,3.56,1,0,0,0,0
24,34,Raphinha,MID,3,Leeds,5.5,3.6,1,0,0,0,0
29,34,Rashford,MID,3,Man Utd,9.5,4.03,1,0,0,0,0
25,34,Salah,MID,3,Liverpool,12.5,5.0,1,0,0,0,0
31,34,Son,MID,3,Spurs,9.5,6.09,1,1,0,0,0
18,34,Watkins,FWD,4,Aston Villa,6.5,3.61,1,0,0,0,0
22,34,Iheanacho,FWD,4,Leicester,6.1,3.74,1,0,0,0,0
21,34,Vardy,FWD,4,Leicester,10.1,5.42,1,0,1,0,0
30,34,Forster,GKP,1,Southampton,4.0,2.2,0,0,0,0,0
17,34,Konsa,DEF,2,Aston Villa,4.7,2.3,0,0,0,0,0
28,34,Shaw,DEF,2,Man Utd,5.4,2.65,0,0,0,0,0
23,34,Castagne,DEF,2,Leicester,5.7,2.93,0,0,0,0,1
27,34,Jota,MID,3,Liverpool,7.0,2.8,0,0,0,0,0
36,35,Mendy,GKP,1,Chelsea,5.2,7.28,1,0,0,0,0
42,35,Alexander-Arnold,DEF,2,Liverpool,7.4,5.02,1,0,0,0,0
37,35,Keane,DEF,2,Everton,5.1,5.4,1,0,0,0,0
44,35,Shaw,DEF,2,Man Utd,5.4,6.83,1,0,0,0,0
47,35,Son,MID,3,Spurs,9.5,4.8,1,0,0,0,0
41,35,Salah,MID,3,Liverpool,12.5,6.89,1,0,0,0,0
33,35,Grealish,MID,3,Aston Villa,7.5,7.85,1,0,0,1,0
45,35,Rashford,MID,3,Man Utd,9.5,9.26,1,0,1,0,0
39,35,Iheanacho,FWD,4,Leicester,6.1,6.92,1,0,0,0,0
35,35,Watkins,FWD,4,Aston Villa,6.5,7.21,1,0,0,0,0
38,35,Vardy,FWD,4,Leicester,10.1,10.07,1,1,0,0,0
46,35,Forster,GKP,1,Southampton,4.0,4.86,0,0,0,0,0
48,35,Reguil贸n,DEF,2,Spurs,5.6,2.23,0,0,0,0,0
34,35,Konsa,DEF,2,Aston Villa,4.7,4.63,0,0,0,0,0
40,35,Raphinha,MID,3,Leeds,5.5,3.72,0,0,0,0,0
43,35,Jota,MID,3,Liverpool,7.0,3.88,0,0,0,0,1
62,36,Forster,GKP,1,Southampton,4.0,2.63,1,0,0,0,0
50,36,Konsa,DEF,2,Aston Villa,4.7,2.91,1,0,0,0,0
64,36,Reguil贸n,DEF,2,Spurs,5.6,3.03,1,0,0,0,0
53,36,Keane,DEF,2,Everton,5.1,4.09,1,0,0,0,0
59,36,Alexander-Arnold,DEF,2,Liverpool,7.4,5.04,1,0,0,0,0
49,36,Grealish,MID,3,Aston Villa,7.5,4.08,1,0,0,0,0
57,36,Raphinha,MID,3,Leeds,5.5,4.17,1,0,0,0,0
63,36,Son,MID,3,Spurs,9.5,4.81,1,0,0,0,0
58,36,Salah,MID,3,Liverpool,12.5,6.58,1,1,0,0,0
51,36,Watkins,FWD,4,Aston Villa,6.5,3.76,1,0,0,0,0
56,36,Bamford,FWD,4,Leeds,6.5,5.21,1,0,1,1,0
52,36,Mendy,GKP,1,Chelsea,5.2,0.0,0,0,0,0,0
60,36,Shaw,DEF,2,Man Utd,5.4,0.0,0,0,0,0,0
61,36,Rashford,MID,3,Man Utd,9.5,0.0,0,0,0,0,0
54,36,Vardy,FWD,4,Leicester,10.1,0.0,0,0,0,0,1
55,36,Iheanacho,FWD,4,Leicester,6.1,0.0,0,0,0,0,0
