Date,fbref,fpl_id,Player,Season,Comp,Round,Squad,Mins,Start,xMins,P(start),P(1_min),P(60_min),weighted_npxGI
2024-08-31,1f44ac21,351,Erling Haaland,2024-2025,Premier League,Matchweek 3,Manchester City,90,1,89.68,1.0,1.0,1.0,0.93
2024-09-01,4d77b365,316,Darwin Núñez,2024-2025,Premier League,Matchweek 3,Liverpool,15,0,12.94,0.0,0.77,0.0,0.93
2024-09-01,e342ad68,328,Mohamed Salah,2024-2025,Premier League,Matchweek 3,Liverpool,90,1,87.42,1.0,1.0,1.0,0.8800000000000001
2024-08-31,e46012d4,345,Kevin De Bruyne,2024-2025,Premier League,Matchweek 3,Manchester City,87,1,88.31,1.0,1.0,1.0,0.83
2024-09-01,dc7f8a28,182,Cole Palmer,2024-2025,Premier League,Matchweek 3,Chelsea,90,1,87.42,1.0,1.0,1.0,0.78
2024-09-01,178ae8f8,317,Diogo Jota,2024-2025,Premier League,Matchweek 3,Liverpool,75,1,74.38,1.0,1.0,1.0,0.76
2024-08-31,8450467d,260,Ali Al Hamadi,2024-2025,Premier League,Matchweek 3,Ipswich Town,10,0,10.92,0.0,1.0,0.0,0.71
2024-09-01,9c36ed83,180,Nicolas Jackson,2024-2025,Premier League,Matchweek 3,Chelsea,90,1,77.25,1.0,1.0,1.0,0.6900000000000001
2024-08-17,b66315ae,2,Gabriel Jesus,2024-2025,Premier League,Matchweek 1,Arsenal,6,0,6.0,0.0,1.0,0.0,0.69
2024-08-25,d3d774cc,178,Marc Guiu,2024-2025,Premier League,Matchweek 2,Chelsea,0,0,10.48,0.0,0.44,0.0,0.67
2024-09-01,4a1a9578,327,Luis Díaz,2024-2025,Premier League,Matchweek 3,Liverpool,65,1,72.5,1.0,1.0,1.0,0.64
2024-09-01,92e7e919,503,Son Heung-min,2024-2025,Premier League,Matchweek 3,Tottenham,90,1,89.78,1.0,1.0,1.0,0.63
2024-09-01,8e92be30,401,Alexander Isak,2024-2025,Premier League,Matchweek 3,Newcastle Utd,90,1,90.0,1.0,1.0,1.0,0.63
2024-08-31,9cfbad36,121,Julio Enciso,2024-2025,Premier League,Matchweek 3,Brighton,6,0,8.62,0.0,1.0,0.0,0.63
2024-08-31,aed3a70f,58,Ollie Watkins,2024-2025,Premier League,Matchweek 3,Aston Villa,60,1,61.51,1.0,1.0,1.0,0.61
2024-08-31,bc7dc64d,17,Bukayo Saka,2024-2025,Premier League,Matchweek 3,Arsenal,90,1,86.58,1.0,1.0,1.0,0.59
2024-08-18,ed1e53f3,348,Phil Foden,2024-2025,Premier League,Matchweek 1,Manchester City,45,0,45.0,0.0,1.0,0.0,0.5800000000000001
2024-09-01,507c7bdf,366,Bruno Fernandes,2024-2025,Premier League,Matchweek 3,Manchester Utd,90,1,86.14,1.0,1.0,1.0,0.58
2024-08-31,48a5a5d6,9,Gabriel Martinelli,2024-2025,Premier League,Matchweek 3,Arsenal,17,0,48.4,0.55,1.0,0.55,0.5700000000000001
2024-09-01,7c56da38,181,Christopher Nkunku,2024-2025,Premier League,Matchweek 3,Chelsea,5,0,17.56,0.22,1.0,0.0,0.57
2024-09-01,1971591f,321,Cody Gakpo,2024-2025,Premier League,Matchweek 3,Liverpool,25,0,20.17,0.0,1.0,0.0,0.56
2024-08-24,fa031b34,497,Richarlison,2024-2025,Premier League,Matchweek 2,Tottenham,25,0,14.52,0.0,1.0,0.0,0.56
2024-08-31,3a233281,28,Leon Bailey,2024-2025,Premier League,Matchweek 3,Aston Villa,15,1,52.06,1.0,1.0,0.55,0.55
2024-08-31,fed7cb61,4,Kai Havertz,2024-2025,Premier League,Matchweek 3,Arsenal,90,1,90.0,1.0,1.0,1.0,0.55
2024-08-31,4e9a0555,447,Chris Wood,2024-2025,Premier League,Matchweek 3,Nott'ham Forest,90,1,80.94,1.0,1.0,1.0,0.54
2024-09-01,7aa8adfe,372,Alejandro Garnacho,2024-2025,Premier League,Matchweek 3,Manchester Utd,68,1,46.02,0.45,1.0,0.45,0.54
2024-08-31,9744ff80,565,Pablo Sarabia,2024-2025,Premier League,Matchweek 3,Wolves,0,0,8.96,0.0,0.55,0.0,0.54
2024-09-01,49fe9070,509,Timo Werner,2024-2025,Premier League,Matchweek 3,Tottenham,17,0,10.64,0.0,0.68,0.0,0.53
2024-08-31,59e6e5bf,220,Dominic Calvert-Lewin,2024-2025,Premier League,Matchweek 3,Everton,87,1,79.18,1.0,1.0,1.0,0.53
2024-08-31,c3cf087d,135,Yankuba Minteh,2024-2025,Premier League,Matchweek 3,Brighton,71,1,70.77,1.0,1.0,0.77,0.53
2024-09-01,ee38d9c5,494,James Maddison,2024-2025,Premier League,Matchweek 3,Tottenham,81,1,79.36,1.0,1.0,1.0,0.53
2024-08-31,6afaebf2,99,Bryan Mbeumo,2024-2025,Premier League,Matchweek 3,Brentford,90,1,89.78,1.0,1.0,1.0,0.52
2024-08-31,ce5143da,148,Danny Welbeck,2024-2025,Premier League,Matchweek 3,Brighton,84,1,83.4,1.0,1.0,1.0,0.51
2024-08-31,2500cef9,110,Yoane Wissa,2024-2025,Premier League,Matchweek 3,Brentford,90,1,82.65,1.0,1.0,1.0,0.51
2024-08-31,414184f7,38,Jhon Durán,2024-2025,Premier League,Matchweek 3,Aston Villa,30,0,28.49,0.0,1.0,0.0,0.51
2024-09-01,8aafd64f,621,João Félix,2024-2025,Premier League,Matchweek 3,Chelsea,33,0,28.63,0.0,1.0,0.0,0.51
2024-08-31,74618572,136,Kaoru Mitoma,2024-2025,Premier League,Matchweek 3,Brighton,84,1,86.5,1.0,1.0,1.0,0.51
2024-09-01,3ea50f67,392,Harvey Barnes,2024-2025,Premier League,Matchweek 3,Newcastle Utd,60,1,42.62,0.45,1.0,0.45,0.5
2024-08-31,38ceb24a,23,Leandro Trossard,2024-2025,Premier League,Matchweek 3,Arsenal,58,1,37.23,0.45,1.0,0.0,0.5
2024-08-31,e5478b87,424,Taiwo Awoniyi,2024-2025,Premier League,Matchweek 3,Nott'ham Forest,1,0,9.52,0.0,1.0,0.0,0.5
2024-08-31,a755db8c,251,Rodrigo Muniz,2024-2025,Premier League,Matchweek 3,Fulham,78,1,78.1,1.0,1.0,1.0,0.5
2024-08-31,79c84d1c,514,Jarrod Bowen,2024-2025,Premier League,Matchweek 3,West Ham,85,1,83.71,1.0,1.0,1.0,0.49
2024-08-31,b0b4fd3e,349,Jack Grealish,2024-2025,Premier League,Matchweek 3,Manchester City,71,1,38.76,0.45,0.77,0.45,0.49
2024-09-01,50e6dc35,207,Jean-Philippe Mateta,2024-2025,Premier League,Matchweek 3,Crystal Palace,68,1,69.95,1.0,1.0,0.77,0.49
2024-08-31,ed5c0319,218,Beto,2024-2025,Premier League,Matchweek 3,Everton,3,0,10.82,0.0,1.0,0.0,0.49
2024-09-01,ae4fc6a4,199,Eberechi Eze,2024-2025,Premier League,Matchweek 3,Crystal Palace,90,1,90.0,1.0,1.0,1.0,0.48
2024-09-01,de112b84,402,Jacob Murphy,2024-2025,Premier League,Matchweek 3,Newcastle Utd,30,0,38.46,0.55,1.0,0.0,0.47
2024-09-01,2bd83368,398,Anthony Gordon,2024-2025,Premier League,Matchweek 3,Newcastle Utd,89,1,84.22,1.0,1.0,1.0,0.47
2024-08-31,2fba6108,432,Anthony Elanga,2024-2025,Premier League,Matchweek 3,Nott'ham Forest,89,1,81.3,1.0,1.0,0.77,0.47
2024-08-19,e77dc3b2,82,Dominic Solanke,2024-2025,Premier League,Matchweek 1,Tottenham,90,1,90.0,1.0,1.0,1.0,0.47
2024-08-24,c5bdb6e3,10,Reiss Nelson,2024-2025,Premier League,Matchweek 2,Arsenal,3,0,1.69,0.0,0.56,0.0,0.46
2024-08-31,79300479,13,Martin Ødegaard,2024-2025,Premier League,Matchweek 3,Arsenal,73,1,82.26,1.0,1.0,1.0,0.4599999999999999
2024-09-01,049a888d,179,Mykhailo Mudryk,2024-2025,Premier League,Matchweek 3,Chelsea,17,0,22.22,0.32,0.77,0.0,0.4599999999999999
2024-08-31,dc62b55d,541,Matheus Cunha,2024-2025,Premier League,Matchweek 3,Wolves,90,1,70.12,0.77,1.0,0.77,0.45
2024-09-01,a1d5bd30,385,Marcus Rashford,2024-2025,Premier League,Matchweek 3,Manchester Utd,90,1,81.64,1.0,1.0,1.0,0.45
2024-09-01,0cd31129,491,Brennan Johnson,2024-2025,Premier League,Matchweek 3,Tottenham,45,0,66.61,0.55,1.0,0.55,0.45
2024-08-31,17695062,19,Emile Smith Rowe,2024-2025,Premier League,Matchweek 3,Fulham,71,1,68.25,1.0,1.0,1.0,0.4499999999999999
2024-08-24,07802f7f,523,Danny Ings,2024-2025,Premier League,Matchweek 2,West Ham,0,0,2.62,0.0,0.44,0.0,0.4499999999999999
2024-08-31,8e16dd48,80,Luis Sinisterra,2024-2025,Premier League,Matchweek 3,Bournemouth,26,0,31.99,0.22,1.0,0.22,0.44
2024-09-01,cd1acf9d,311,Trent Alexander-Arnold,2024-2025,Premier League,Matchweek 3,Liverpool,75,1,73.93,1.0,1.0,1.0,0.42
2024-08-31,fffea3e5,346,Jeremy Doku,2024-2025,Premier League,Matchweek 3,Manchester City,67,1,73.1,1.0,1.0,1.0,0.42
2024-08-31,45963054,306,Jamie Vardy,2024-2025,Premier League,Matchweek 3,Leicester City,90,1,80.89,1.0,1.0,1.0,0.42
2024-09-01,99127249,365,Antony,2024-2025,Premier League,Matchweek 3,Manchester Utd,0,0,0.32,0.0,0.32,0.0,0.41
2024-09-01,7ba2eaa9,560,Pedro Neto,2024-2025,Premier League,Matchweek 3,Chelsea,57,1,47.79,0.45,1.0,0.0,0.41
2024-08-31,ac05f970,512,Michail Antonio,2024-2025,Premier League,Matchweek 3,West Ham,70,1,67.55,1.0,1.0,1.0,0.41
2024-09-01,bf34eebd,177,Noni Madueke,2024-2025,Premier League,Matchweek 3,Chelsea,85,1,67.66,0.77,0.77,0.77,0.41
2024-08-31,819b3158,625,İlkay Gündoğan,2024-2025,Premier League,Matchweek 3,Manchester City,23,0,21.69,0.0,1.0,0.0,0.4
2024-09-01,934e1968,336,Dominik Szoboszlai,2024-2025,Premier League,Matchweek 3,Liverpool,90,1,90.0,1.0,1.0,1.0,0.4
2024-08-31,9a28eba4,239,Adama Traoré,2024-2025,Premier League,Matchweek 3,Fulham,90,1,80.02,1.0,1.0,1.0,0.4
2024-08-31,b561db50,252,Raúl Jiménez,2024-2025,Premier League,Matchweek 3,Fulham,12,0,11.9,0.0,1.0,0.0,0.39
2024-08-31,32f60ed8,433,Morgan Gibbs-White,2024-2025,Premier League,Matchweek 3,Nott'ham Forest,90,1,89.68,1.0,1.0,1.0,0.39
2024-08-31,6639e500,240,Andreas Pereira,2024-2025,Premier League,Matchweek 3,Fulham,86,1,86.34,1.0,1.0,1.0,0.39
2024-08-31,2f9e4435,74,Dango Ouattara,2024-2025,Premier League,Matchweek 3,Bournemouth,25,0,32.65,0.22,1.0,0.22,0.38
2024-08-31,e8832875,129,João Pedro,2024-2025,Premier League,Matchweek 3,Brighton,90,1,88.0,1.0,1.0,1.0,0.37
2024-08-24,0562b7f1,198,Odsonne Édouard,2024-2025,Premier League,Matchweek 2,Crystal Palace,70,1,59.08,0.56,1.0,0.56,0.37
2024-09-01,df3cda47,492,Dejan Kulusevski,2024-2025,Premier League,Matchweek 3,Tottenham,90,1,64.89,0.77,1.0,0.77,0.37
2024-08-25,a3b03921,420,Joe Willock,2024-2025,Premier League,Matchweek 2,Newcastle Utd,21,0,11.84,0.0,0.56,0.0,0.37
2024-08-31,05e8ca6d,27,Cameron Archer,2024-2025,Premier League,Matchweek 3,Southampton,45,0,31.06,0.0,1.0,0.0,0.37
2024-08-31,3eb22ec9,342,Bernardo Silva,2024-2025,Premier League,Matchweek 3,Manchester City,90,1,90.0,1.0,1.0,1.0,0.36
2024-08-31,4c3a6744,71,Justin Kluivert,2024-2025,Premier League,Matchweek 3,Bournemouth,90,1,69.84,0.77,1.0,0.77,0.36
2024-08-31,169fd162,550,Hwang Hee-chan,2024-2025,Premier League,Matchweek 3,Wolves,31,0,52.84,0.55,1.0,0.22,0.36
2024-08-31,37dc1a48,577,Jesper Lindstrøm,2024-2025,Premier League,Matchweek 3,Everton,0,0,10.94,0.0,0.32,0.0,0.36
2024-08-31,52afb588,106,Kevin Schade,2024-2025,Premier League,Matchweek 3,Brentford,74,1,55.76,0.68,1.0,0.68,0.36
2024-09-01,03edb878,69,Daniel Jebbison,2024-2025,Championship,Matchweek 4,Watford,22,0,16.85,0.0,1.0,0.0,0.36
2024-08-31,b62878a5,525,Mohammed Kudus,2024-2025,Premier League,Matchweek 3,West Ham,90,1,88.88,1.0,1.0,1.0,0.35
2024-09-01,980522ec,370,Christian Eriksen,2024-2025,Premier League,Matchweek 3,Manchester Utd,5,0,1.58,0.0,0.32,0.0,0.35
2024-08-31,4dcec659,113,Simon Adingra,2024-2025,Premier League,Matchweek 3,Brighton,6,0,13.31,0.0,1.0,0.0,0.35
2024-08-31,fc15fb84,230,Dwight McNeil,2024-2025,Premier League,Matchweek 3,Everton,90,1,90.0,1.0,1.0,1.0,0.35
2024-08-24,fe6e7156,571,Sávio,2024-2025,Premier League,Matchweek 2,Manchester City,70,1,59.08,1.0,1.0,0.56,0.35
2024-08-31,efd2ec23,78,Antoine Semenyo,2024-2025,Premier League,Matchweek 3,Bournemouth,90,1,90.0,1.0,1.0,1.0,0.35
2024-09-01,27d0a506,495,Pedro Porro,2024-2025,Premier League,Matchweek 3,Tottenham,90,1,89.69,1.0,1.0,1.0,0.35
2024-08-31,f553b2b3,566,Jørgen Strand Larsen,2024-2025,Premier League,Matchweek 3,Wolves,85,1,86.26,1.0,1.0,1.0,0.35
2024-08-31,41f08ac8,98,Keane Lewis-Potter,2024-2025,Premier League,Matchweek 3,Brentford,16,0,34.67,0.37,1.0,0.37,0.35
2024-09-01,028e70b9,389,Joshua Zirkzee,2024-2025,Premier League,Matchweek 3,Manchester Utd,85,1,52.93,0.32,1.0,0.32,0.35
2024-09-01,862a1c15,391,Miguel Almirón,2024-2025,Premier League,Matchweek 3,Newcastle Utd,1,0,1.06,0.0,0.69,0.0,0.34
2024-08-31,5c0da4a4,83,Marcus Tavernier,2024-2025,Premier League,Matchweek 3,Bournemouth,90,1,87.75,1.0,1.0,1.0,0.34
2024-08-24,9674002f,382,Mason Mount,2024-2025,Premier League,Matchweek 2,Manchester Utd,45,1,53.88,1.0,1.0,0.59,0.34
2024-08-25,7fcc71d8,562,Daniel Podence,2024-2025,Premier League,Matchweek 2,Wolves,32,0,25.01,0.0,1.0,0.0,0.3399999999999999
2024-08-31,c6dc9ecd,259,Harry Wilson,2024-2025,Premier League,Matchweek 3,Fulham,4,0,13.54,0.0,1.0,0.0,0.3399999999999999
2024-09-01,c17bfb65,403,Joelinton,2024-2025,Premier League,Matchweek 3,Newcastle Utd,90,1,90.0,1.0,1.0,1.0,0.3299999999999999
2024-08-31,aa849a12,224,Jack Harrison,2024-2025,Premier League,Matchweek 3,Everton,90,1,75.4,1.0,1.0,0.63,0.32
2024-08-31,c64c01fc,618,Georginio Rutter,2024-2025,Premier League,Matchweek 3,Brighton,19,0,34.3,0.31,1.0,0.31,0.32
2024-08-31,3a24769f,29,Ross Barkley,2024-2025,Premier League,Matchweek 3,Aston Villa,29,0,14.74,0.0,0.69,0.0,0.32
2024-08-31,1544f145,53,Jacob Ramsey,2024-2025,Premier League,Matchweek 3,Aston Villa,63,0,38.57,0.0,1.0,0.32,0.32
2024-08-31,02b29014,217,Abdoulaye Doucouré,2024-2025,Premier League,Matchweek 3,Everton,8,0,42.76,0.68,1.0,0.31,0.32
2024-08-31,68c720b5,453,Adam Armstrong,2024-2025,Premier League,Matchweek 3,Southampton,45,1,68.34,1.0,1.0,0.68,0.32
2024-08-31,de31038e,423,Elliot Anderson,2024-2025,Premier League,Matchweek 3,Nott'ham Forest,89,1,61.33,0.69,1.0,0.69,0.32
2024-08-31,468a7a91,117,Facundo Buonanotte,2024-2025,Premier League,Matchweek 3,Leicester City,23,0,57.7,0.68,1.0,0.68,0.31
2024-09-01,2e4f5f03,335,Andrew Robertson,2024-2025,Premier League,Matchweek 3,Liverpool,82,1,83.76,1.0,1.0,1.0,0.31
2024-08-31,8dcf77c0,563,Rodrigo Gomes,2024-2025,Premier League,Matchweek 3,Wolves,0,0,31.6,0.31,0.68,0.31,0.31
2024-09-01,21512407,418,Kieran Trippier,2024-2025,Premier League,Matchweek 3,Newcastle Utd,0,0,12.37,0.0,0.37,0.0,0.31
2024-08-31,6ca5ec4b,247,Alex Iwobi,2024-2025,Premier League,Matchweek 3,Fulham,86,1,88.74,1.0,1.0,1.0,0.31
2024-08-31,df04eb4b,587,Crysencio Summerville,2024-2025,Premier League,Matchweek 3,West Ham,5,0,7.17,0.0,0.63,0.0,0.31
2024-08-24,3515d404,531,James Ward-Prowse,2024-2025,Premier League,Matchweek 2,West Ham,0,0,10.06,0.0,0.59,0.0,0.3
2024-08-31,57827369,584,Ben Brereton,2024-2025,Premier League,Matchweek 3,Southampton,90,1,83.79,1.0,1.0,1.0,0.3
2024-09-01,5ff4ab71,168,Enzo Fernández,2024-2025,Premier League,Matchweek 3,Chelsea,90,1,90.0,1.0,1.0,1.0,0.3
2024-08-31,2e5915f1,54,Morgan Rogers,2024-2025,Premier League,Matchweek 3,Aston Villa,90,1,90.0,1.0,1.0,1.0,0.29
2024-09-01,bbd67769,313,Conor Bradley,2024-2025,Premier League,Matchweek 3,Liverpool,15,0,16.19,0.0,1.0,0.0,0.29
2024-08-31,215f3907,89,Mikkel Damsgaard,2024-2025,Premier League,Matchweek 3,Brentford,81,1,40.14,0.32,1.0,0.32,0.29
2024-08-31,9b6f7fd5,527,Lucas Paquetá,2024-2025,Premier League,Matchweek 3,West Ham,90,1,84.72,1.0,1.0,1.0,0.29
2024-09-01,83d074ff,329,Alexis Mac Allister,2024-2025,Premier League,Matchweek 3,Liverpool,90,1,90.0,1.0,1.0,1.0,0.28
2024-08-31,0f7533cd,290,Bobby Reid,2024-2025,Premier League,Matchweek 3,Leicester City,2,0,50.26,0.68,1.0,0.68,0.28
2024-08-31,15f3ec41,434,Callum Hudson-Odoi,2024-2025,Premier League,Matchweek 3,Nott'ham Forest,79,1,80.58,1.0,1.0,1.0,0.28
2024-08-17,d328a254,76,Philip Billing,2024-2025,Premier League,Matchweek 1,Bournemouth,7,0,17.8,0.12,0.96,0.12,0.28
2024-09-01,82518f62,394,Bruno Guimarães,2024-2025,Premier League,Matchweek 3,Newcastle Utd,90,1,90.0,1.0,1.0,1.0,0.28
2024-09-01,bfdb33aa,585,Ismaila Sarr,2024-2025,Premier League,Matchweek 3,Crystal Palace,22,0,16.59,0.0,1.0,0.0,0.27
2024-08-17,dc6c2f02,537,Chiquinho,2024-2025,Premier League,Matchweek 1,Wolves,7,0,13.92,0.11,0.85,0.11,0.27
2024-08-31,788c0277,632,Chiedozie Ogbene,2024-2025,Premier League,Matchweek 3,Ipswich Town,87,1,69.85,0.85,0.85,0.85,0.27
2024-08-31,bceda5ff,570,Abdul Fatawu Issahaku,2024-2025,Premier League,Matchweek 3,Leicester City,67,1,82.76,1.0,1.0,1.0,0.27
2024-08-31,da052c14,192,Jordan Ayew,2024-2025,Premier League,Matchweek 3,Leicester City,66,1,37.79,0.32,1.0,0.32,0.27
2024-08-31,5ed97752,232,Iliman Ndiaye,2024-2025,Premier League,Matchweek 3,Everton,82,1,47.24,0.32,1.0,0.32,0.26
2024-09-01,9dc96f10,364,Amad Diallo,2024-2025,Premier League,Matchweek 3,Manchester Utd,22,0,58.91,0.68,1.0,0.68,0.26
2024-09-01,5c74c0f5,166,Kiernan Dewsbury-Hall,2024-2025,Premier League,Matchweek 3,Chelsea,0,0,13.07,0.0,0.68,0.0,0.26
2024-09-01,15b287da,205,Daichi Kamada,2024-2025,Premier League,Matchweek 3,Crystal Palace,87,1,59.3,0.63,1.0,0.63,0.26
2024-08-31,e6bc67d7,548,Gonçalo Guedes,2024-2025,Premier League,Matchweek 3,Wolves,16,0,5.03,0.0,0.32,0.0,0.26
2024-08-31,96593e89,357,James Mcatee,2024-2025,Premier League,Matchweek 3,Manchester City,0,0,0.37,0.0,0.37,0.0,0.26
2024-08-31,b2c66859,299,Kasey McAteer,2024-2025,Premier League,Matchweek 3,Leicester City,1,0,4.11,0.0,1.0,0.0,0.25
2024-08-31,d38fdf53,122,Pervis Estupiñán,2024-2025,Premier League,Matchweek 3,Brighton,19,0,32.74,0.22,0.98,0.19,0.25
2024-08-31,6613c819,530,Tomáš Souček,2024-2025,Premier League,Matchweek 3,West Ham,14,0,61.21,0.68,1.0,0.68,0.25
2024-09-01,a2b105e0,410,Sean Longstaff,2024-2025,Premier League,Matchweek 3,Newcastle Utd,67,1,74.89,1.0,1.0,1.0,0.25
2024-08-31,f173303a,600,Yasin Ayari,2024-2025,Premier League,Matchweek 3,Brighton,74,0,24.28,0.0,1.0,0.32,0.24
2024-08-31,90f91999,48,John McGinn,2024-2025,Premier League,Matchweek 3,Aston Villa,90,1,71.25,1.0,1.0,1.0,0.24
2024-08-31,30144daa,298,Stephy Mavididi,2024-2025,Premier League,Matchweek 3,Leicester City,24,0,18.77,0.0,1.0,0.0,0.24
2024-08-25,2944f86f,102,Frank Onyeka,2024-2025,Premier League,Matchweek 2,Brentford,18,0,11.49,0.0,1.0,0.0,0.24
2024-08-31,26ce2263,63,Ryan Christie,2024-2025,Premier League,Matchweek 3,Bournemouth,65,1,52.76,0.69,1.0,0.69,0.24
2024-08-31,e98211e7,126,Jack Hinshelwood,2024-2025,Premier League,Matchweek 3,Brighton,90,1,90.0,1.0,1.0,1.0,0.24
2024-08-31,4ec55b87,265,Conor Chaplin,2024-2025,Premier League,Matchweek 3,Ipswich Town,3,0,21.57,0.31,1.0,0.31,0.24
2024-08-31,0f134faf,95,Mathias Jensen,2024-2025,Premier League,Matchweek 3,Brentford,90,1,78.46,1.0,1.0,1.0,0.23
2024-08-31,56f7a928,57,Youri Tielemans,2024-2025,Premier League,Matchweek 3,Aston Villa,90,1,90.0,1.0,1.0,1.0,0.23
2024-08-24,d93c2511,381,Scott McTominay,2024-2025,Premier League,Matchweek 2,Manchester Utd,12,0,9.04,0.0,1.0,0.0,0.23
2024-09-01,4d224fe8,368,Casemiro,2024-2025,Premier League,Matchweek 3,Manchester Utd,45,1,75.84,1.0,1.0,0.68,0.23
2024-09-01,35516eac,612,Wilson Odobert,2024-2025,Premier League,Matchweek 3,Tottenham,73,1,74.97,1.0,1.0,1.0,0.2299999999999999
2024-08-31,10f0fdd3,535,Jean-Ricner Bellegarde,2024-2025,Premier League,Matchweek 3,Wolves,74,1,65.78,1.0,1.0,0.69,0.22
2024-08-17,b3fe23c6,264,Wes Burns,2024-2025,Premier League,Matchweek 1,Ipswich Town,56,1,59.56,0.96,1.0,0.24,0.22
2024-08-31,828657ff,233,Amadou Onana,2024-2025,Premier League,Matchweek 3,Aston Villa,61,1,75.26,1.0,1.0,1.0,0.22
2024-08-31,966e28d0,314,Fabio Carvalho,2024-2025,Premier League,Matchweek 3,Brentford,9,0,14.38,0.0,1.0,0.0,0.22
2024-08-31,9eedf0e0,451,Samuel Amo-Ameyaw,2024-2025,Premier League,Matchweek 3,Southampton,0,0,3.1,0.0,0.31,0.0,0.22
2024-08-31,2f90f6b8,134,James Milner,2024-2025,Premier League,Matchweek 3,Brighton,16,1,57.17,1.0,1.0,0.68,0.22
2024-08-31,99813635,463,Adam Lallana,2024-2025,Premier League,Matchweek 3,Southampton,9,0,10.02,0.06,0.81,0.01,0.22
2024-08-31,df0a4c90,101,Christian Nørgaard,2024-2025,Premier League,Matchweek 3,Brentford,90,1,90.0,1.0,1.0,1.0,0.21
2024-08-31,a8748947,243,Tom Cairney,2024-2025,Premier League,Matchweek 3,Fulham,4,0,17.89,0.0,1.0,0.0,0.21
2024-08-31,9b398aea,533,Rayan Aït-Nouri,2024-2025,Premier League,Matchweek 3,Wolves,59,1,69.07,1.0,1.0,0.68,0.21
2024-09-01,3312f911,214,Jeffrey Schlupp,2024-2025,Premier League,Matchweek 3,Crystal Palace,3,0,4.32,0.0,0.69,0.0,0.21
2024-09-01,feb5d972,499,Pape Matar Sarr,2024-2025,Premier League,Matchweek 3,Tottenham,45,1,47.07,0.63,1.0,0.31,0.21
2024-09-01,f315ca93,337,Kostas Tsimikas,2024-2025,Premier League,Matchweek 3,Liverpool,8,0,6.24,0.0,0.63,0.0,0.21
2024-08-31,b57e066e,355,Rico Lewis,2024-2025,Premier League,Matchweek 3,Manchester City,90,1,90.0,1.0,1.0,1.0,0.21
2024-09-01,0db169ae,417,Sandro Tonali,2024-2025,Premier League,Matchweek 3,Newcastle Utd,23,0,31.7,0.19,0.96,0.15,0.21
2024-09-01,778ef829,211,Daniel Muñoz,2024-2025,Premier League,Matchweek 3,Crystal Palace,90,1,90.0,1.0,1.0,1.0,0.21
2024-08-31,e6af02e0,356,Matheus Nunes,2024-2025,Premier League,Matchweek 3,Manchester City,19,0,6.35,0.0,0.69,0.0,0.2
2024-08-31,bd9553e6,274,Omari Hutchinson,2024-2025,Premier League,Matchweek 3,Ipswich Town,90,1,89.25,1.0,1.0,1.0,0.2
2024-09-01,d56b9520,171,Malo Gusto,2024-2025,Premier League,Matchweek 3,Chelsea,73,1,84.65,1.0,1.0,1.0,0.2
2024-08-31,d557d734,543,Matt Doherty,2024-2025,Premier League,Matchweek 3,Wolves,16,0,66.71,0.68,1.0,0.68,0.2
2024-09-01,3b8674e6,480,Rodrigo Bentancur,2024-2025,Premier League,Matchweek 3,Tottenham,9,0,49.23,0.59,1.0,0.59,0.2
2024-08-31,dd897ee7,268,Liam Delap,2024-2025,Premier League,Matchweek 3,Ipswich Town,80,1,78.58,1.0,1.0,1.0,0.2
2024-09-01,da011f18,399,Lewis Hall,2024-2025,Premier League,Matchweek 3,Newcastle Utd,23,0,36.91,0.31,1.0,0.31,0.19
