id,web_name,element_type,now_cost,tsb,position
1,Fábio Vieira,3,55,0.1,MID
2,G.Jesus,4,70,2.2,FWD
3,Gabriel,2,60,12.4,DEF
4,Havertz,4,80,13.3,FWD
5,Hein,1,40,0.2,GKP
6,J.Timber,2,55,1.2,DEF
7,Jorginho,3,50,0.3,MID
8,Kiwior,2,50,0.2,DEF
9,Martinelli,3,70,3.5,MID
10,Nelson,3,50,0.0,MID
11,Nketiah,4,60,0.4,FWD
12,Nwaneri,3,45,0.2,MID
13,Ødegaard,3,85,16.6,MID
14,Ramsdale,1,45,0.8,GKP
15,Raya,1,55,24.9,GKP
16,Rice,3,65,6.1,MID
17,Saka,3,100,28.3,MID
18,Saliba,2,60,40.2,DEF
20,Thomas,3,50,0.1,MID
21,Tierney,2,45,0.2,DEF
22,Tomiyasu,2,50,0.2,DEF
23,Trossard,3,70,2.7,MID
24,White,2,65,11.5,DEF
25,Zinchenko,2,50,2.2,DEF
578,Calafiori,2,60,2.7,DEF
26,Alex Moreno,2,45,0.8,DEF
27,Archer,4,50,1.3,FWD
28,Bailey,3,65,4.1,MID
29,Barkley,3,55,1.0,MID
30,Barrenechea,3,50,0.1,MID
31,Buendia,3,55,0.2,MID
32,Cash,2,45,3.0,DEF
33,Dendoncker,3,45,0.9,MID
34,Diaby,3,65,0.2,MID
35,Diego Carlos,2,45,0.6,DEF
36,Digne,2,45,2.2,DEF
37,Dobbin,3,50,0.0,MID
38,Duran,4,60,0.3,FWD
39,Gauci,1,40,0.3,GKP
40,Hause,2,40,0.5,DEF
41,Iling Jr,3,55,0.1,MID
42,Kamara,3,50,0.0,MID
43,Kesler-Hayden,2,40,0.1,DEF
44,Konsa,2,45,14.8,DEF
45,Maatsen,2,50,4.4,DEF
46,Marschall,1,40,0.0,GKP
47,Martinez,1,50,13.0,GKP
48,McGinn,3,55,2.2,MID
49,Mings,2,45,0.2,DEF
50,Nedeljkovic,2,40,0.3,DEF
51,Olsen,1,45,0.2,GKP
52,Pau,2,45,1.5,DEF
53,Ramsey,3,55,0.3,MID
54,Rogers,3,50,7.9,MID
55,Sinisalo,1,40,0.0,GKP
56,Sousa,2,40,0.4,DEF
57,Tielemans,3,55,0.6,MID
58,Watkins,4,90,42.6,FWD
233,Onana,3,50,0.9,MID
569,Jaden,3,55,0.1,MID
59,Aarons,2,45,0.3,DEF
60,Adams,3,50,0.0,MID
61,Anthony,3,45,0.5,MID
62,Brooks,3,50,0.0,MID
63,Christie,3,50,0.2,MID
64,Cook,3,50,0.1,MID
65,Enes Ünal,4,55,0.1,FWD
66,Faivre,3,50,0.0,MID
67,H.Traorè,3,45,0.2,MID
68,Hill,2,40,0.4,DEF
69,Jebbison,4,45,1.0,FWD
70,Kerkez,2,45,0.5,DEF
71,Kluivert,3,55,0.5,MID
72,Mepham,2,45,0.1,DEF
73,Neto,1,45,2.5,GKP
74,O.Dango,3,50,0.0,MID
75,Paulsen,1,40,0.2,GKP
76,Philip,3,50,0.1,MID
77,Scott,3,50,0.1,MID
78,Semenyo,3,55,1.2,MID
79,Senesi,2,50,1.1,DEF
80,Sinisterra,3,50,0.2,MID
81,Smith,2,45,0.2,DEF
83,Tavernier,3,55,0.2,MID
84,Travers,1,45,0.2,GKP
85,Zabarnyi,2,45,0.5,DEF
580,Huijsen,2,45,0.1,DEF
86,Ajer,2,45,0.4,DEF
87,Brierley,3,45,0.1,MID
88,Collins,2,45,0.4,DEF
89,Damsgaard,3,50,0.1,MID
90,Dasilva,3,50,0.0,MID
91,Flekken,1,45,13.1,GKP
92,Henry,2,45,0.3,DEF
93,Hickey,2,45,0.1,DEF
94,Janelt,3,50,0.2,MID
95,Jensen,3,55,0.2,MID
96,Ji-soo,2,40,0.3,DEF
97,Konak,3,45,0.1,MID
98,Lewis-Potter,3,50,0.1,MID
99,Mbeumo,3,70,5.5,MID
100,Mee,2,45,1.1,DEF
101,Nørgaard,3,50,0.1,MID
102,Onyeka,3,50,0.0,MID
103,Peart-Harris,3,45,0.1,MID
104,Pinnock,2,45,0.5,DEF
105,Roerslev,2,45,0.1,DEF
106,Schade,3,55,0.1,MID
107,Thiago,4,60,0.1,FWD
108,Toney,4,75,10.1,FWD
109,Valdimarsson,1,40,3.5,GKP
110,Wissa,4,60,2.7,FWD
111,Yarmoliuk,3,45,2.9,MID
112,Zanka,2,45,0.1,DEF
314,Carvalho,3,50,1.1,MID
113,Adingra,3,55,0.6,MID
114,Baker-Boaitey,3,45,0.0,MID
115,Baleba,3,50,0.0,MID
116,Barco,2,40,20.2,DEF
118,Cozier-Duberry,3,45,0.2,MID
119,Dahoud,3,50,0.0,MID
120,Dunk,2,45,4.2,DEF
121,Enciso,3,55,0.2,MID
122,Estupiñan,2,50,0.1,DEF
123,Ferguson,4,55,0.1,FWD
124,Gilmour,3,50,0.2,MID
125,Gross,3,65,0.4,MID
126,Hinshelwood,3,50,0.0,MID
127,I.Osman,3,50,0.0,MID
128,Igor,2,45,0.1,DEF
129,João Pedro,4,55,18.3,FWD
130,Kozlowski,3,45,0.0,MID
131,Lamptey,2,45,0.5,DEF
132,March,3,65,0.0,MID
133,Mazilu,3,45,0.0,MID
134,Milner,3,50,0.1,MID
135,Minteh,3,55,1.3,MID
136,Mitoma,3,65,1.8,MID
137,Moder,3,45,0.4,MID
138,O’Mahony,4,45,0.4,FWD
139,Offiah,2,40,0.2,DEF
140,Peupion,3,45,0.1,MID
141,Sarmiento,3,50,0.0,MID
142,Steele,1,45,0.6,GKP
143,Undav,4,55,0.1,FWD
144,Van Hecke,2,45,0.3,DEF
145,Veltman,2,45,0.2,DEF
146,Verbruggen,1,45,1.3,GKP
147,Webster,2,45,0.1,DEF
148,Welbeck,4,55,0.6,FWD
149,Wieffer,3,50,0.1,MID
150,Andrey Santos,3,45,0.0,MID
151,Ângelo,3,45,0.4,MID
152,Arrizabalaga,1,45,0.4,GKP
153,B.Badiashile,2,45,0.2,DEF
154,Bergström,1,40,0.2,GKP
155,Bettinelli,1,40,0.4,GKP
156,Broja,4,55,0.1,FWD
157,Caicedo,3,50,0.7,MID
158,Casadei,3,45,0.1,MID
159,Chalobah,2,45,0.2,DEF
160,Chilwell,2,50,0.9,DEF
161,Chukwuemeka,3,50,0.1,MID
162,Colwill,2,45,0.8,DEF
163,Cucurella,2,50,6.4,DEF
164,D.D.Fofana,4,55,0.1,FWD
165,Deivid,4,50,0.1,FWD
166,Dewsbury-Hall,3,60,0.4,MID
167,Disasi,2,45,0.6,DEF
168,Enzo,3,50,1.2,MID
169,Gallagher,3,60,1.0,MID
170,Gilchrist,2,40,0.3,DEF
171,Gusto,2,50,3.1,DEF
172,James,2,50,0.2,DEF
173,Kellyman,3,45,0.0,MID
174,Lavia,3,45,0.8,MID
175,Lukaku,4,65,0.6,FWD
176,M.Sarr,2,45,0.0,DEF
177,Madueke,3,65,0.5,MID
178,Marc Guiu,4,50,0.8,FWD
179,Mudryk,3,65,0.4,MID
180,N.Jackson,4,75,2.3,FWD
181,Nkunku,3,65,17.2,MID
182,Palmer,3,105,41.9,MID
183,Petrović,1,45,1.1,GKP
184,Renato Veiga,3,45,0.1,MID
185,Sánchez,1,45,3.4,GKP
186,Sterling,3,70,2.8,MID
187,Tosin,2,45,0.4,DEF
188,Ugochukwu,3,45,0.3,MID
189,W.Fofana,2,45,0.3,DEF
560,Neto,3,65,1.4,MID
575,Wiley,2,40,0.2,DEF
581,Jørgensen,1,45,0.4,GKP
190,Ahamada,3,45,0.3,MID
191,Andersen,2,45,22.2,DEF
192,J.Ayew,3,55,0.5,MID
193,C.Doucouré,3,50,0.1,MID
194,C.Richards,2,45,0.2,DEF
195,Chadi Riad,2,45,0.2,DEF
196,Clyne,2,45,0.2,DEF
197,Ebiowei,3,45,0.0,MID
198,Edouard,4,55,0.8,FWD
199,Eze,3,70,34.0,MID
200,Guéhi,2,45,8.4,DEF
201,Henderson,1,45,11.8,GKP
202,Holding,2,45,0.1,DEF
203,Hughes,3,50,0.1,MID
204,Johnstone,1,45,0.6,GKP
205,Kamada,3,55,0.5,MID
206,Lerma,3,50,0.1,MID
207,Mateta,4,75,7.2,FWD
208,M.França,3,45,0.2,MID
209,Matthews,1,40,0.7,GKP
210,Mitchell,2,50,2.6,DEF
211,Muñoz,2,50,4.1,DEF
212,Ozoh,3,45,0.0,MID
213,Rak-Sakyi,3,45,0.3,MID
214,Schlupp,3,50,0.1,MID
215,Ward,2,45,0.2,DEF
216,Wharton,3,50,0.6,MID
585,I.Sarr,3,60,0.3,MID
217,A.Doucoure,3,55,0.5,MID
218,Beto,4,50,0.4,FWD
219,Branthwaite,2,50,7.5,DEF
220,Calvert-Lewin,4,60,1.7,FWD
221,Coleman,2,45,0.2,DEF
222,Gana,3,50,0.1,MID
223,Garner,3,50,0.1,MID
224,Harrison,3,55,0.2,MID
225,Holgate,2,40,0.5,DEF
226,Iroegbunam,3,45,0.2,MID
227,J.Virginia,1,40,0.7,GKP
228,Keane,2,40,1.9,DEF
229,Maupay,4,50,1.6,FWD
230,McNeil,3,55,0.9,MID
231,Mykolenko,2,45,11.5,DEF
232,Ndiaye,4,55,0.2,FWD
234,Patterson,2,45,0.1,DEF
235,Pickford,1,50,18.0,GKP
236,Tarkowski,2,50,2.0,DEF
237,Y. Chermiti,4,50,0.0,FWD
238,Young,2,45,0.2,DEF
577,Lindstrøm,3,55,0.2,MID
582,O'Brien,2,50,0.3,DEF
19,Smith Rowe,3,55,12.1,MID
239,Adama,3,50,0.2,MID
240,Andreas,3,55,4.4,MID
241,Bassey,2,45,0.3,DEF
242,Benda,1,40,0.4,GKP
243,Cairney,3,50,0.0,MID
244,Castagne,2,45,3.3,DEF
245,Diop,2,45,0.2,DEF
246,Harris,3,45,0.0,MID
247,Iwobi,3,55,0.5,MID
248,Leno,1,50,2.9,GKP
249,Lukić,3,50,0.0,MID
250,Mbabu,2,40,0.5,DEF
251,Muniz,4,60,7.4,FWD
252,Raúl,4,55,0.4,FWD
253,Ream,2,45,0.1,DEF
254,Reed,3,50,0.1,MID
255,Robinson,2,45,7.5,DEF
256,Stansfield,4,50,0.1,FWD
257,Tete,2,45,0.2,DEF
258,Vinicius,4,50,0.6,FWD
259,Wilson,3,55,0.2,MID
579,Sessegnon,2,45,0.2,DEF
586,J.Cuenca,2,45,0.1,DEF
260,Al-Hamadi,4,50,0.4,FWD
261,Baggott,2,40,0.1,DEF
262,Broadhead,3,50,0.0,MID
263,Burgess,2,40,0.4,DEF
264,Burns,3,50,0.1,MID
265,Chaplin,3,55,0.3,MID
266,Clarke,2,40,0.1,DEF
267,Davis,2,45,2.1,DEF
268,Delap,4,55,0.4,FWD
269,Edmundson,2,40,0.2,DEF
270,Greaves,2,40,0.5,DEF
271,Harness,3,50,0.0,MID
272,Hirst,4,55,0.1,FWD
273,Humphreys,3,45,0.1,MID
274,Hutchinson,3,55,0.8,MID
275,Johnson,2,40,2.4,DEF
276,Ladapo,4,45,2.1,FWD
277,Luongo,3,45,0.3,MID
278,Morsy,3,50,0.2,MID
279,Ndaba,2,40,0.0,DEF
280,Slicker,1,40,0.8,GKP
281,Taylor,3,50,0.0,MID
282,Tuanzebe,2,40,1.2,DEF
283,Walton,1,45,0.2,GKP
284,Woolfenden,2,40,1.3,DEF
568,Muric,1,45,0.5,GKP
583,Townsend,2,40,0.3,DEF
117,Buonanotte,3,50,0.1,MID
285,B.Soumaré,3,45,0.2,MID
286,Cannon,4,45,1.0,FWD
287,Choudhury,3,45,0.3,MID
288,Coady,2,40,0.9,DEF
289,Daka,4,50,1.0,FWD
290,De Cordova-Reid,3,55,0.2,MID
291,Faes,2,40,7.8,DEF
292,Golding,3,45,0.1,MID
293,Hermansen,1,45,0.5,GKP
294,Iversen,1,40,0.8,GKP
295,Justin,2,45,0.4,DEF
296,Kristiansen,2,45,0.1,DEF
297,Marcal,3,45,0.1,MID
298,Mavididi,3,55,0.7,MID
299,McAteer,3,50,0.1,MID
300,Ndidi,3,50,0.2,MID
301,Okoli,2,40,0.2,DEF
302,Ricardo,2,45,0.3,DEF
303,Souttar,2,40,0.1,DEF
304,Stolarczyk,1,40,0.1,GKP
305,Thomas,2,40,0.6,DEF
306,Vardy,4,55,3.5,FWD
307,Vestergaard,2,40,1.8,DEF
308,Ward,1,40,2.8,GKP
309,Winks,3,45,12.5,MID
570,A.Fatawu,3,55,0.4,MID
310,A.Becker,1,55,10.8,GKP
311,Alexander-Arnold,2,70,26.2,DEF
312,Bajcetic,3,45,0.2,MID
313,Bradley,2,50,0.8,DEF
315,Clark,3,45,0.1,MID
316,Darwin,4,75,6.5,FWD
317,Diogo J.,3,75,10.2,MID
318,Doak,3,45,0.1,MID
319,Elliott,3,55,1.5,MID
320,Endo,3,50,0.2,MID
321,Gakpo,4,75,5.1,FWD
322,Gomez,2,50,0.6,DEF
323,Gravenberch,3,50,0.1,MID
324,Jones,3,55,0.1,MID
325,Kelleher,1,45,0.4,GKP
326,Konaté,2,50,1.9,DEF
327,Luis Díaz,3,75,8.3,MID
328,M.Salah,3,125,34.5,MID
329,Mac Allister,3,65,2.6,MID
330,McConnell,3,45,0.0,MID
331,Morton,3,45,0.1,MID
332,N.Phillips,2,40,0.2,DEF
333,Quansah,2,45,3.4,DEF
334,R.Williams,2,40,0.2,DEF
335,Robertson,2,60,5.3,DEF
336,Szoboszlai,3,65,2.2,MID
337,Tsimikas,2,50,0.5,DEF
338,Van den Berg,2,40,0.4,DEF
339,Virgil,2,60,11.8,DEF
340,Akanji,2,55,4.3,DEF
341,Aké,2,55,2.9,DEF
342,Bernardo,3,65,3.5,MID
343,Bobb,3,50,3.5,MID
344,Carson,1,40,0.2,GKP
345,De Bruyne,3,95,7.2,MID
346,Doku,3,65,3.0,MID
347,Ederson M.,1,55,6.3,GKP
348,Foden,3,95,21.9,MID
349,Grealish,3,65,0.4,MID
350,Gvardiol,2,60,33.6,DEF
351,Haaland,4,150,46.9,FWD
352,J.Alvarez,4,70,1.3,FWD
353,João Cancelo,2,55,1.0,DEF
354,Kovačić,3,55,0.2,MID
355,Lewis,2,45,0.4,DEF
356,Matheus N.,3,50,0.0,MID
357,McAtee,3,50,0.1,MID
358,Ortega Moreno,1,55,1.5,GKP
359,Phillips,3,50,0.0,MID
360,Rodrigo,3,65,7.0,MID
361,Rúben,2,55,3.4,DEF
362,Stones,2,55,2.5,DEF
363,Walker,2,55,9.4,DEF
571,Sávio,3,65,0.5,MID
364,Amad,3,50,3.0,MID
365,Antony,3,60,0.3,MID
366,B.Fernandes,3,85,16.3,MID
367,Bayindir,1,45,0.2,GKP
368,Casemiro,3,50,0.4,MID
369,Dalot,2,50,7.2,DEF
370,Eriksen,3,55,0.2,MID
371,Evans,2,45,0.2,DEF
372,Garnacho,3,65,15.2,MID
373,Hannibal,3,45,0.1,MID
374,Heaton,1,40,0.2,GKP
375,Højlund,4,70,1.5,FWD
376,Lindelof,2,45,0.2,DEF
377,Maguire,2,50,0.5,DEF
378,Mainoo,3,55,6.7,MID
379,Malacia,2,45,0.0,DEF
380,Martinez,2,45,4.9,DEF
381,McTominay,3,50,1.1,MID
382,Mount,3,65,0.3,MID
383,Onana,1,50,6.2,GKP
384,Pellistri,3,50,0.0,MID
385,Rashford,3,70,5.6,MID
386,Sancho,3,65,0.5,MID
387,Shaw,2,50,2.9,DEF
388,Wan-Bissaka,2,45,1.2,DEF
389,Zirkzee,4,70,2.3,FWD
572,Yoro,2,45,0.6,DEF
390,A.Murphy,2,40,0.7,DEF
391,Almirón,3,60,1.0,MID
392,Barnes,3,65,0.6,MID
393,Botman,2,45,0.0,DEF
394,Bruno G.,3,65,3.2,MID
395,Burn,2,45,18.7,DEF
396,Dúbravka,1,45,1.4,GKP
397,Fraser,3,50,0.0,MID
398,Gordon,3,75,30.1,MID
399,Hall,2,45,2.9,DEF
400,Hayden,3,45,0.1,MID
401,Isak,4,85,57.1,FWD
402,J.Murphy,3,55,1.4,MID
403,Joelinton,3,60,0.4,MID
404,Kelly,2,45,0.2,DEF
405,Krafth,2,45,0.1,DEF
406,Kuol,3,45,0.0,MID
407,Lascelles,2,45,0.0,DEF
408,Lewis,2,40,0.4,DEF
409,Livramento,2,45,1.5,DEF
410,Longstaff,3,50,1.1,MID
411,Miley,3,50,0.0,MID
412,Odysseas,1,45,0.2,GKP
413,Pope,1,50,5.8,GKP
414,Ruddy,1,40,0.3,GKP
415,Schär,2,55,5.2,DEF
416,Targett,2,40,0.6,DEF
417,Tonali,3,55,0.0,MID
418,Trippier,2,60,13.9,DEF
419,White,3,45,0.3,MID
420,Willock,3,50,0.2,MID
421,Wilson,4,70,0.2,FWD
574,Pivas,2,40,0.1,DEF
590,Osula,4,50,0.1,FWD
422,Aina,2,45,1.1,DEF
423,Anderson,3,50,0.2,MID
424,Awoniyi,4,60,1.1,FWD
425,Boly,2,45,0.3,DEF
426,Bowler,3,45,0.1,MID
427,C.Miguel,1,45,0.7,GKP
428,Da Silva Moreira,3,45,0.1,MID
429,Danilo,3,50,0.1,MID
430,Dennis,4,50,0.3,FWD
431,Dominguez,3,50,0.0,MID
432,Elanga,3,55,2.6,MID
433,Gibbs-White,3,65,5.7,MID
434,Hudson-Odoi,3,55,4.2,MID
435,Mighten,3,45,0.0,MID
436,Murillo,2,45,0.7,DEF
437,N.Williams,2,45,0.6,DEF
438,O.Richards,2,45,0.1,DEF
439,O'Brien,3,50,0.0,MID
440,Omobamidele,2,45,0.1,DEF
441,Panzo,2,40,0.0,DEF
442,Sangaré,3,45,1.7,MID
443,Sels,1,45,1.0,GKP
444,Toffolo,2,45,0.1,DEF
445,Turner,1,40,21.3,GKP
446,Ui-jo,4,45,1.4,FWD
447,Wood,4,60,4.8,FWD
448,Worrall,2,45,0.1,DEF
449,Yates,3,50,0.1,MID
573,Milenković,2,45,0.2,DEF
450,Alcaraz,3,50,0.1,MID
451,Amo-Ameyaw,3,45,0.1,MID
452,Aribo,3,50,0.1,MID
453,Armstrong,4,55,2.2,FWD
454,Bazunu,1,45,0.4,GKP
455,Bednarek,2,40,1.2,DEF
456,Bella-Kotchap,2,40,0.4,DEF
457,Bree,2,40,0.2,DEF
458,Charles,3,45,0.1,MID
459,Edozie,3,50,0.0,MID
460,Edwards,2,40,0.2,DEF
461,Harwood-Bellis,2,40,11.7,DEF
462,Kamaldeen,3,50,0.0,MID
463,Lallana,3,50,0.1,MID
464,Larios,2,40,0.2,DEF
465,Lis,1,40,0.3,GKP
466,Lumley,1,40,0.3,GKP
467,Manning,2,45,0.1,DEF
468,Mara,4,50,0.1,FWD
469,McCarthy,1,45,0.2,GKP
470,Onuachu,4,50,0.1,FWD
471,Smallbone,3,50,0.1,MID
472,Stephens,2,40,0.3,DEF
473,Stewart,4,45,1.5,FWD
474,Sugawara,2,45,0.2,DEF
475,Taylor,2,40,5.7,DEF
476,Walker-Peters,2,45,0.6,DEF
477,Wood,2,40,1.1,DEF
518,Downes,3,50,0.1,MID
584,Brereton Díaz,3,55,0.7,MID
82,Solanke,4,75,24.8,FWD
478,A.Phillips,2,40,0.5,DEF
479,Austin,1,40,0.4,GKP
480,Bentancur,3,50,0.2,MID
481,Bergvall,3,45,0.9,MID
482,Bissouma,3,50,0.3,MID
483,Bryan,3,50,0.0,MID
484,Davies,2,45,0.2,DEF
485,Devine,3,45,0.1,MID
486,Dragusin,2,45,0.3,DEF
487,E.Royal,2,45,0.1,DEF
488,Forster,1,45,0.3,GKP
489,Gray,3,50,0.3,MID
490,Højbjerg,3,50,0.0,MID
491,Johnson,3,65,1.1,MID
492,Kulusevski,3,65,2.6,MID
493,Lo Celso,3,50,0.1,MID
494,Maddison,3,75,4.7,MID
495,Pedro Porro,2,55,32.5,DEF
496,Reguilón,2,45,0.4,DEF
497,Richarlison,4,70,1.1,FWD
498,Romero,2,50,4.8,DEF
499,P.Sarr,3,50,0.3,MID
500,Scarlett,4,45,0.7,FWD
501,Skipp,3,50,0.0,MID
502,Solomon,3,55,0.1,MID
503,Son,3,100,10.6,MID
504,Spence,2,45,0.1,DEF
505,Udogie,2,50,4.3,DEF
506,Van de Ven,2,45,7.2,DEF
507,Veliz,4,50,0.1,FWD
508,Vicario,1,50,4.5,GKP
509,Werner,3,65,0.4,MID
510,Whiteman,1,40,1.4,GKP
511,Álvarez,3,50,0.2,MID
512,Antonio,4,55,1.2,FWD
513,Areola,1,45,10.9,GKP
514,Bowen,3,75,7.4,MID
515,Cornet,3,50,0.0,MID
516,Coufal,2,45,0.9,DEF
517,Cresswell,2,40,2.3,DEF
519,Earthy,3,45,0.2,MID
520,Emerson,2,45,0.7,DEF
521,Fabianski,1,40,11.8,GKP
522,Foderingham,1,45,0.2,GKP
523,Ings,4,50,0.9,FWD
524,Kilman,2,45,1.0,DEF
525,Kudus,3,65,9.4,MID
526,L.Guilherme,3,50,0.1,MID
527,L.Paquetá,3,60,1.5,MID
528,Mavropanos,2,45,0.1,DEF
529,N.Aguerd,2,45,0.2,DEF
530,Souček,3,50,2.4,MID
531,Ward-Prowse,3,65,1.9,MID
532,Zouma,2,45,0.6,DEF
576,Irving,3,50,0.0,MID
587,Summerville,3,60,1.0,MID
588,G.Rodríguez,3,50,0.1,MID
589,Füllkrug,4,70,3.5,FWD
591,Todibo,2,45,0.3,DEF
533,Aït-Nouri,2,45,2.9,DEF
534,B.Traore,3,50,0.1,MID
535,Bellegarde,3,50,0.0,MID
536,Bentley,1,40,1.6,GKP
537,Chiquinho,3,45,0.2,MID
538,Chirewa,3,45,0.1,MID
539,Chiwome,4,45,0.3,FWD
540,Cundle,3,45,0.1,MID
541,Cunha,4,65,2.6,FWD
542,Dawson,2,45,0.2,DEF
543,Doherty,2,45,0.2,DEF
544,Doyle,3,50,0.1,MID
545,Fábio Silva,4,50,0.3,FWD
546,Fraser,4,45,5.2,FWD
547,Gonzalez,3,45,0.1,MID
548,Guedes,3,55,0.1,MID
549,H.Bueno,2,45,0.1,DEF
550,Hee Chan,3,65,1.2,MID
551,Hodge,3,45,0.4,MID
552,Hoever,2,40,0.3,DEF
553,J.Gomes,3,50,0.1,MID
554,José Sá,1,45,2.6,GKP
555,Kalajdžić,4,50,0.1,FWD
556,King,1,40,1.0,GKP
557,Mario Jr.,3,50,0.2,MID
558,Mosquera,2,40,0.5,DEF
559,N.Semedo,2,45,0.0,DEF
561,Pedro Lima,2,40,1.4,DEF
562,Podence,3,55,0.1,MID
563,R.Gomes,3,55,0.2,MID
564,S.Bueno,2,45,0.1,DEF
565,Sarabia,3,55,0.3,MID
566,Strand Larsen,4,55,0.2,FWD
567,Toti,2,45,0.3,DEF
